rank,prefix_name,pinyin,number,wade-giles
1,王,WANG,9520,
2,李,LI,9340,
3,张,ZHANG,8960,
4,刘,LIU,6770,
5,陈,CHEN,6130,
6,杨,YANG,4270,
7,黄,HUANG,3260,
8,吴,WU,2680,
9,赵,ZHAO,2670,
10,周,ZHOU,2520,
11,徐,XU,1930,
12,孙,SUN,1830,
13,马,MA,1720,
14,朱,ZHU,1700,
15,胡,HU,1550,
16,林,LIN,1510,
17,郭,GUO,1500,
18,何,HE,1400,
19,高,GAO,1330,
20,罗,LUO,1260,
21,郑,ZHENG,1240,
22,梁,LIANG,1130,
23,谢,XIE,1010,
24,宋,SONG,932,
25,唐,TANG,917,
26,许,XU,881,
27,邓,DENG,821,
28,冯,FENG,818,
29,韩,HAN,815,
30,曹,CAO,791,
31,曾,ZENG,772,
32,彭,PENG,766,
33,萧,XIAO,739,
34,蔡,CAI,701,
35,潘,PAN,687,
36,田,TIAN,685,
37,董,DONG,677,
38,袁,YUAN,667,
39,于,YU,642,
40,余,YU,633,
41,叶,YE,632,
42,蒋,JIANG,632,
43,杜,DU,619,
44,苏,SU,606,
45,魏,WEI,603,
46,程,CHENG,601,
47,吕,LYU,596,
48,丁,DING,576,
49,沈,SHEN,550,
50,任,REN,547,
51,姚,YAO,538,
52,卢,LU,536,
53,傅,FU,536,
54,钟,ZHONG,533,
55,姜,JIANG,523,
56,崔,CUI,509,
57,谭,TAN,499,
58,廖,LIAO,487,
59,范,FAN,485,
60,汪,WANG,483,
61,陆,LU,480,
62,金,JIN,467,
63,石,SHI,455,
64,戴,DAI,449,
65,贾,JIA,439,
66,韦,WEI,430,
67,夏,XIA,426,
68,邱,QIU,423,
69,方,FANG,413,
70,侯,HOU,401,
71,邹,ZOU,394,
72,熊,XIONG,384,
73,孟,MENG,383,
74,秦,QIN,379,
75,白,BAI,374,
76,江,JIANG,369,
77,阎,YAN,360,
78,薛,XUE,347,
79,尹,YIN,346,
80,段,DUAN,320,
81,雷,LEI,319,
82,黎,LI,288,
83,史,SHI,285,
84,龙,LONG,281,
85,陶,TAO,274,
86,贺,HE,274,
87,顾,GU,272,
88,毛,MAO,264,
89,郝,HAO,264,
90,龚,GONG,264,
91,邵,SHAO,262,
92,万,WAN,254,
93,钱,QIAN,249,
94,严,YAN,246,
95,赖,LAI,240,
96,覃,QIN,240,
97,洪,HONG,240,
98,武,WU,239,
99,莫,MO,233,
100,孔,KONG,231,
101,汤,TANG,227,
102,向,XIANG,226,
103,常,CHANG,218,
104,温,WEN,217,
105,康,KANG,211,
106,施,SHI,206,
107,文,WEN,204,
108,牛,NIU,202,
109,樊,FAN,200,
110,葛,GE,195,
111,邢,XIN,192,
112,安,AN,179,
113,齐,QI,176,
114,易,YI,175,
115,乔,QIAO,173,
116,伍,WU,171,
117,庞,PANG,167,
118,颜,YAN,164,
119,倪,NI,163,
120,庄,ZHUANG,162,
121,聂,NIE,159,
122,章,ZHANG,157,
123,鲁,LU,151,
124,岳,YUE,149,
125,翟,ZHAI,149,
126,殷,YIN,147,
127,詹,ZHAN,147,
128,申,SHEN,147,
129,欧,OU,146,
130,耿,GENG,140,
131,关,GUAN,137,
132,兰,LAN,134,
133,焦,JIAO,133,
134,俞,YU,132,
135,左,ZUO,131,
136,柳,LIU,129,
137,甘,GAN,126,
138,祝,ZHU,120,
139,包,BAO,115,
140,宁,NING,110,
141,尚,SHANG,109,
