Name,Number
陈,2627995
林,1960443
黄,1426788
张,1242595
李,1208829
王,967622
吴,952464
刘,743179
蔡,686717
杨,626244
许,548474
郑,443702
谢,414923
洪,353854
郭,351979
邱,343784
曾,338779
廖,316264
赖,311106
徐,296675
周,286742
叶,278167
苏,266108
庄,222819
吕,215755
江,215531
何,200421
萧,195507
罗,195208
高,181471
潘,161355
简,159765
朱,155888
钟,153701
游,139882
彭,139862
詹,137167
胡,128704
施,128369
沈,121910
余,119854
卢,112208
梁,108510
赵,106583
颜,104098
柯,102607
翁,93602
魏,90545
孙,86107
戴,82988
范,"79,077"
方,"77,965"
宋,"76,444"
鄧,"64,057"
杜,"54,844"
傅,"53,437"
侯,"53,383"
曹,"52,588"
薛,"50,751"
丁,"49,045"
卓,"45,150"
阮,"44,826"
馬,"43,886"
董,"42,487"
温,"42,016"
唐,"41,879"
藍,"41,831"
石,"41,368"
蔣,"41,362"
古,"41,270"
紀,"41,075"
姚,"40,515"
連,"39,918"
馮,"38,373"
歐,"38,229"
程,"37,077"
湯,"36,479"
黃,"35,905"
田,"35,864"
康,"35,827"
姜,"34,687"
白,"33,354"
汪,"33,335"
鄒,"32,385"
尤,"32,176"
巫,"29,195"
鐘,"28,662"
黎,"28,433"
涂,"27,498"
龔,"25,383"
嚴,"22,477"
韓,"21,991"
袁,"21,812"
金,"19,661"
童,"19,424"
陸,"17,659"
夏,"16,771"
柳,"16,725"
凃,"16,447"
邵,"15,783"
錢,"15,119"
伍,"14,597"
倪,"14,294"
溫,"14,097"
于,"12,958"
譚,"12,849"
駱,"12,696"
熊,"12,066"
任,"11,988"
甘,"11,869"
秦,"11,783"
顧,"11,612"
毛,"11,520"
章,"11,483"
史,"11,280"
官,"11,181"
萬,"11,168"
俞,"11,073"
雷,"10,182"
粘,"9,916"
饒,"9,913"
張,"9,059"
簡,"8,937"
闕,"8,489"
凌,"8,444"
崔,"8,366"
尹,"8,267"
孔,"7,998"
辛,"7,860"
歐陽,"7,617"
辜,"7,603"
陶,"7,556"
易,"7,396"
段,"7,381"
龍,"7,149"
韋,"6,999"
葛,"6,697"
池,"6,460"
孟,"6,156"
褚,"6,116"
殷,"5,866"
麥,"5,804"
賀,"5,572"
賈,"5,485"
莫,"5,461"
文,"5,388"
管,"5,303"
關,"5,131"
向,"4,851"
包,"4,847"
丘,"4,531"
梅,"4,301"
范姜,"4,300"
華,"4,288"
利,"3,920"
裴,"3,760"
樊,"3,736"
房,"3,614"
全,"3,607"
佘,"3,598"
左,"3,507"
花,"3,506"
魯,"3,499"
安,"3,495"
鮑,"3,255"
郝,"3,226"
穆,"3,217"
塗,"3,185"
邢,"3,100"
蒲,"3,085"
成,"3,020"
谷,"3,001"
常,"2,890"
閻,"2,881"
練,"2,859"
盛,"2,846"
鄔,"2,841"
耿,"2,786"
聶,"2,774"
符,"2,747"
申,"2,735"
祝,"2,719"
繆,"2,705"
陽,"2,692"
解,"2,685"
曲,"2,618"
岳,"2,612"
齊,"2,560"
籃,"2,444"
應,"2,422"
單,"2,363"
舒,"2,351"
畢,"2,342"
喬,"2,342"
龎,"2,270"
翟,"2,243"
牛,"2,233"
鄞,"2,213"
留,"2,180"
季,"2,155"
覃,"2,115"
卜,"2,078"
項,"2,068"
塗2,"2,020"
喻,"2,009"
商,"1,946"
滕,"1,938"
焦,"1,932"
車,"1,841"
買,"1,825"
虞,"1,818"
苗,"1,807"
戚,"1,778"
牟,"1,719"
雲,"1,711"
巴,"1,706"
力,"1,704"
艾,"1,688"
樂,"1,674"
臧,"1,610"
司,"1,569"
樓,"1,542"
費,"1,503"
屈,"1,490"
宗,"1,485"
幸,"1,431"
衛,"1,403"
尚,"1,394"
靳,"1,390"
祁,"1,387"
諶,"1,378"
桂,"1,373"
沙,"1,344"
欒,"1,302"
宮,"1,292"
路,"1,274"
刁,"1,245"
時,"1,177"
龐,"1,173"
瞿,"1,151"
柴,"1,142"
柏,"1,098"
鄺,"1,097"
談,"1,087"
查,"1,057"
霍,"1,057"
隋,"1,056"
閔,"1,050"
髙,"1,050"
竇,"1,046"
松,"1,039"
吉,"1,022"
甯,983
遲,964
儲,963
風,962
釋,960
仲,958
冉,951
鄂,943
湛,924
仇,912
東,910
匡,903
榮,884
伊,854
昌,848
婁,845
蘭,842
冷,839
卞,830
桑,814
晏,806
岑,805
裘,805
姬,788
