"name","rank","count","prop100k","cum_prop100k","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic"
"NGUYEN",38,437645,148.36,10949.31,"0.95","0.12","96.45","0.03","1.83","0.63"
"TRAN",132,188498,63.9,19564.32,"1.35","0.1","96","0.03","1.7","0.81"
"LE",277,110967,37.62,26556.03,"1.49","0.23","95.59","0.03","1.92","0.75"
"PHAM",370,84320,28.59,29604.51,"0.9","0.2","96.33","0.03","1.81","0.72"
"HUYNH",620,54996,18.64,35374.05,"0.82","0.09","96.68","0.02","1.72","0.67"
"CHUNG",805,43110,14.61,38419.65,"2.25","2.28","90.01","0.03","4.02","1.4"
"TRUONG",903,38267,12.97,39766.87,"0.82","0.11","96.87","0.03","1.6","0.57"
"PHAN",918,37836,12.83,39960.09,"1.28","0.19","95.83","0.03","2.01","0.65"
"VO",960,36236,12.28,40486.48,"1.4","0.16","96.07","0.04","1.72","0.61"
"VU",962,36179,12.26,40511.01,"1.04","(S)","96.61","(S)","1.68","0.58"
"NGO",1062,33005,11.19,41680.08,"0.92","(S)","96.46","(S)","1.69","0.65"
"DANG",1155,30389,10.3,42677.09,"1.75","0.34","95","0.03","2.12","0.76"
"DO",1159,30301,10.27,42718.26,"2.34","0.37","94.78","0.02","1.64","0.86"
"LY",1176,29891,10.13,42891.62,"1.18","1.54","94.59","0.03","1.72","0.95"
"HOANG",1185,29798,10.1,42982.69,"1.41","0.13","96.05","0","1.61","0.79"
"BUI",1222,28919,9.8,43351.11,"1.71","0.32","95.45","0.02","1.63","0.87"
"CHU",1238,28508,9.66,43506.95,"2.61","(S)","92.14","(S)","3.3","1.68"
"MA",1240,28452,9.65,43526.24,"3.07","0.45","93.51","0.06","1.37","1.54"
"DUONG",1431,24870,8.43,45238.57,"0.83","0.1","96.69","0.02","1.6","0.76"
"DOAN",1814,19760,6.7,48122.44,"29.86","0.51","66.31","0.19","2.2","0.93"
"CAO",1989,18138,6.15,49245.53,"1.38","(S)","95.22","(S)","1.05","2.12"
"MAI",2075,17445,5.91,49763.11,"11.32","0.55","85.47","0.11","1.4","1.14"
"DINH",2119,17081,5.79,50020.44,"1.27","(S)","96.5","(S)","1.34","0.73"
"LUU",2324,15702,5.32,51159.14,"1.02","0.15","96.48","0","1.68","0.67"
"TRINH",2368,15392,5.22,51390.85,"1.2","(S)","95.93","(S)","1.88","0.87"
"LUONG",2499,14464,4.9,52051.52,"1.12","0.08","96.63","0.04","1.39","0.73"
"TONG",2730,13196,4.47,53132.89,"11.58","1.51","81.26","0.14","3.38","2.14"
"BACH",2986,11999,4.07,54225.99,"84.82","0.3","10.7","0.21","1.3","2.67"
"THAI",3089,11644,3.95,54642.16,"2.23","(S)","95.61","(S)","1.41","0.58"
"DAO",3220,11211,3.8,55150.1,"1.71","0.88","94.37","0.08","1.92","1.03"
"VAN",3320,10798,3.66,55523.71,"22.18","6.3","67.23","0.39","2.1","1.81"
"QUACH",3598,9894,3.35,56493.77,"0.69","0.24","96.52","0.07","1.73","0.75"
"VUONG",3766,9407,3.19,57046.13,"0.91","(S)","96.63","(S)","1.64","0.75"
"TO",3979,8934,3.03,57707.57,"1.96","(S)","95.06","(S)","1.37","1.28"
"AN",4353,8160,2.77,58785.37,"3.37","0.87","92.99","0.07","1.42","1.27"
