Etunimi,Lukumäärä
Juha,"43,947"
Timo,"43,215"
Matti,"39,732"
Kari,"38,402"
Mikko,"37,813"
Jari,"37,234"
Antti,"36,681"
Mika,"33,302"
Jukka,"33,062"
Markku,"31,475"
Pekka,"30,308"
Anne,"30,150"
Tuula,"29,935"
Päivi,"29,733"
Anna,"28,517"
Hannu,"28,499"
Minna,"27,585"
Sari,"27,543"
Leena,"27,520"
Janne,"27,474"
Pirjo,"27,433"
Heikki,"27,278"
Ritva,"27,196"
Ari,"26,318"
Sami,"26,231"
Marja,"25,790"
Tiina,"25,773"
Ville,"25,762"
Seppo,"25,564"
Marko,"24,947"
Riitta,"24,712"
Tarja,"24,365"
Petri,"23,908"
Laura,"23,258"
Jani,"22,661"
Lauri,"22,389"
Pirkko,"21,364"
Jaana,"21,295"
Satu,"21,285"
Heidi,"21,233"
Hanna,"21,107"
Sanna,"20,966"
Aino,"20,942"
Sirpa,"20,930"
Seija,"20,757"
Teemu,"20,194"
Maria,"20,137"
Raija,"20,073"
Liisa,"20,013"
Eeva,"19,819"
Eija,"19,818"
Johanna,"19,443"
Merja,"19,395"
Harri,"19,360"
Kirsi,"19,244"
Erkki,"18,957"
Jorma,"18,634"
Anja,"18,306"
Arja,"18,218"
Jarmo,"17,901"
Pentti,"17,875"
Jussi,"17,817"
Pasi,"17,752"
Jaakko,"17,592"
Eero,"17,524"
Eila,"17,291"
Paula,"17,248"
Maija,"17,196"
Juho,"17,130"
Risto,"17,004"
Niko,"16,931"
Jenni,"16,790"
Toni,"16,671"
Ulla,"16,616"
Esa,"16,315"
Jouni,"16,293"
Elina,"16,267"
Raimo,"16,072"
Markus,"15,767"
Katja,"15,725"
Aleksi,"15,723"
Arto,"15,704"
Tomi,"15,436"
Tuomas,"15,392"
Mari,"15,092"
Emma,"15,074"
Pertti,"14,974"
Vesa,"14,903"
Nina,"14,884"
Olli,"14,855"
Heli,"14,815"
Anni,"14,695"
Joni,"14,497"
Kimmo,"14,492"
Sirkka,"14,479"
Martti,"14,431"
Reijo,"14,397"
Tommi,"14,308"
Jouko,"13,984"
Tero,"13,752"
Veikko,"13,685"
Joonas,"13,229"
Eetu,"13,102"
Leo,"12,797"
Henri,"12,717"
Esko,"12,697"
Mirja,"12,584"
Emilia,"12,558"
Anu,"12,503"
Terttu,"12,458"
Raili,"12,397"
Helena,"12,280"
Kirsti,"12,262"
Tuija,"12,132"
