Sukunimi,Yhteensä
Korhonen,21811
Virtanen,21021
Mäkinen,19421
Nieminen,19214
Mäkelä,18494
Hämäläinen,17677
Laine,17453
Heikkinen,16977
Koskinen,16602
Järvinen,15531
Lehtonen,15331
Lehtinen,14478
Saarinen,14205
Salminen,14026
Heinonen,13904
Heikkilä,13844
Niemi,13840
Kinnunen,13682
Salonen,13375
Turunen,12891
Salo,12630
Laitinen,12313
Rantanen,12058
Tuominen,12037
Karjalainen,12036
Mattila,11614
Jokinen,11612
Savolainen,10786
Lahtinen,10693
Ahonen,10671
Ojala,10491
Leppänen,10333
Kallio,9846
Leinonen,9747
Väisänen,9728
Hiltunen,9684
Pitkänen,9609
Miettinen,9594
Manninen,9519
Aaltonen,9487
Koivisto,9399
Hakala,9299
Anttila,9287
Laaksonen,8795
Hirvonen,8742
Lehto,8730
Räsänen,8702
Laakso,8595
Toivonen,8556
Rantala,8539
Aalto,8457
Mustonen,8422
Niemelä,8176
Moilanen,8121
Nurmi,8104
Peltonen,8079
Seppälä,7961
Pulkkinen,7903
Hänninen,7850
Saari,7827
Kettunen,7762
Lappalainen,7696
Partanen,7614
Koskela,7581
Kemppainen,7531
Seppänen,7482
Kauppinen,7478
Ahola,7463
Salmi,7389
Lahti,7375
Aho,7156
Ikonen,7155
Huttunen,7137
Suominen,7072
Pesonen,6978
Halonen,6975
Kärkkäinen,6969
Nyman,6871
Mikkonen,6793
Johansson,6782
Koponen,6782
Peltola,6774
Lindholm,6733
Niskanen,6724
Oksanen,6712
Vainio,6679
Heiskanen,6642
Mikkola,6612
Koski,6471
Honkanen,6459
Immonen,6404
Harju,6331
Vuorinen,6323
Nurminen,6289
Määttä,6285
Kokkonen,6205
Rissanen,6119
Karppinen,6117
Mäki,6033
Heino,5918
Laukkanen,5917
Juntunen,5906
Rajala,5890
Rautiainen,5819
Kangas,5807
Keränen,5806
Jääskeläinen,5768
Parviainen,5746
Paananen,5710
Hartikainen,5709
Leino,5605
Mäenpää,5605
Karlsson,5594
Lindström,5512
Ruotsalainen,5478
Martikainen,5422
Uusitalo,5411
Hakkarainen,5390
Kokko,5388
Hyvärinen,5377
Laurila,5371
Toivanen,5271
Tikkanen,5268
Nevalainen,5246
Viitanen,5215
Salmela,5171
Makkonen,5056
Leskinen,5041
Nykänen,5032
Kuusisto,5009
Hietala,4954
Holopainen,4930
Häkkinen,4928
Andersson,4885
Ranta,4880
Tamminen,4870
Korpela,4851
Härkönen,4834
Eriksson,4819
Kukkonen,4801
Karhu,4767
Karvonen,4733
Hyvönen,4731
Tiainen,4708
Pasanen,4706
Jokela,4697
Jaakkola,4692
Saarela,4593
Sillanpää,4561
Väänänen,4552
Kosonen,4535
Malinen,4513
Kujala,4508
Rautio,4498
Virta,4484
Lindroos,4414
Autio,4391
Kivelä,4376
Timonen,4334
Lindqvist,4321
Jussila,4276
Kolehmainen,4250
Rinne,4241
Valtonen,4241
Hokkanen,4230
Huhtala,4228
Räisänen,4225
Lampinen,4224
Tolonen,4185
Nissinen,4165
Eskelinen,4116
Nousiainen,4098
Koivula,4059
Vartiainen,4055
Laakkonen,4023
Lindberg,4009
Lepistö,3995
Asikainen,3985
Kuusela,3933
Koistinen,3901
Kyllönen,3899
Luoma,3889
Pelkonen,3824
Kulmala,3809
Hautala,3806
Liimatainen,3786
Tolvanen,3750
Tuovinen,3748
Pietilä,3733
Helenius,3722
Penttinen,3702
Koivunen,3698
Voutilainen,3690
Huotari,3688
Viljanen,3686
Pennanen,3673
Marttila,3646
Riikonen,3644
Hyttinen,3635
Repo,3627
Järvenpää,3624
Luukkonen,3623
Suhonen,3622
Hietanen,3613
Takala,3610
Pakarinen,3602
Kumpulainen,3595
Nuutinen,3587
Karttunen,3583
Ronkainen,3561
Ketola,3552
Eskola,3538
Haavisto,3538
Lindgren,3535
Eklund,3523
Haapala,3508
Eronen,3501
Lehtimäki,3488
Myllymäki,3477
Auvinen,3412
Huovinen,3412
Kainulainen,3412
Penttilä,3407
Saastamoinen,3407
Paavola,3379
Juvonen,3368
Vuori,3367
Helin,3341
Liukkonen,3339
Viitala,3315
Komulainen,3306
Hautamäki,3295
Kivimäki,3270
Markkanen,3267
Keskinen,3260
Ollila,3237
Rintala,3224
Taskinen,3210
Tuomi,3205
Lähteenmäki,3195
Silvennoinen,3192
Ollikainen,3191
Välimäki,3185
Suomalainen,3168
Lehtola,3155
Sipilä,3153
Kähkönen,3149
Halme,3140
Gustafsson,3115
Perälä,3113
Nylund,3101
Blomqvist,3098
Kortelainen,3087
Kuosmanen,3062
Turpeinen,3062
Hannula,3056
Kantola,3034
Meriläinen,3034
Hytönen,3033
Tanskanen,3019
Lindfors,2988
Matilainen,2988
Matikainen,2945
Jalonen,2933
Helminen,2918
Ylitalo,2917
Holm,2905
Jansson,2886
Alatalo,2876
Kivistö,2872
Kanerva,2858
Tervo,2858
Soininen,2849
Kiviniemi,2841
Puhakka,2840
Varis,2837
Rytkönen,2830
Väyrynen,2825
Erkkilä,2823
Henriksson,2823
Rauhala,2795
Kurki,2789
Taipale,2787
Karvinen,2761
Tarvainen,2760
Berg,2754
Pääkkönen,2754
Pajunen,2746
Nyberg,2740
Ojanen,2730
Puustinen,2713
Laiho,2711
Kilpeläinen,2709
Peltoniemi,2708
Mäntylä,2706
Lassila,2688
Kankaanpää,2677
Mattsson,2677
Oinonen,2675
Kuisma,2669
Tikka,2647
Piirainen,2645
Lehikoinen,2637
Backman,2634
Kivinen,2623
Pirinen,2622
Räty,2612
Haapanen,2611
Kärki,2607
Pohjola,2601
Korpi,2593
Niiranen,2593
Jaatinen,2581
Kauppila,2578
Parkkinen,2569
Haverinen,2553
Lipponen,2553
Jauhiainen,2531
Kaikkonen,2518
Ylönen,2509
Moisio,2507
Jäntti,2505
Keinänen,2488
Valkonen,2487
Ruuskanen,2483
Haataja,2480
Vesterinen,2480
Rossi,2478
Raatikainen,2473
Venäläinen,2460
Holmberg,2451
Mononen,2440
Sainio,2438
Syrjälä,2426
Nikula,2412
Järvelä,2403
Anttonen,2397
Holmström,2397
Kovanen,2386
Lilja,2376
Pekkala,2375
Palomäki,2352
Tirkkonen,2344
Linna,2342
Kämäräinen,2332
Pehkonen,2330
Ahokas,2315
Männistö,2312
Kuronen,2308
Sallinen,2306
Latvala,2304
Seppä,2301
Alanko,2297
Karhunen,2293
Huuskonen,2289
Sirén,2284
Vuorela,2283
Valkama,2281
Elo,2263
Konttinen,2261
Tiihonen,2252
Oikarinen,2244
Muhonen,2240
Sjöblom,2226
Riihimäki,2225
Salomaa,2223
Alanen,2220
Eloranta,2218
Soini,2211
Sirviö,2210
Kiuru,2205
Keskitalo,2191
Reinikainen,2184
Pekkarinen,2180
Simola,2180
Rönkkö,2166
Snellman,2165
Ryynänen,2164
Forsman,2161
Lammi,2152
Marttinen,2143
Kari,2141
Järvi,2139
Ylinen,2138
Kalliokoski,2137
Airaksinen,2132
Nevala,2122
Haapaniemi,2119
Aro,2103
Simonen,2097
Holappa,2095
Pöllänen,2094
Uotila,2093
Ihalainen,2089
Puranen,2081
Grönroos,2078
Sutinen,2077
Kauppi,2076
Antikainen,2067
Sihvonen,2053
Tähtinen,2052
Joensuu,2049
Lankinen,2040
Aarnio,2034
Lehti,2020
Toivola,2011
Paavilainen,2010
Sundström,2001
Kauhanen,1986
Sivonen,1983
Friman,1975
Kiiskinen,1975
Virolainen,1974
Törmänen,1970
Hassinen,1969
Luoto,1966
Westerlund,1965
Sormunen,1961
Suvanto,1959
Koivuniemi,1950
Eerola,1948
Luostarinen,1945
Nordström,1941
Ruohonen,1918
Kotilainen,1915
Ruuska,1902
Nenonen,1897
Tuomisto,1894
Sinisalo,1886
Kiiski,1884
Nygård,1874
Björklund,1869
Sinkkonen,1861
Antila,1859
Pietikäinen,1859
Tervonen,1854
Rajamäki,1852
Koljonen,1851
Kuokkanen,1844
Sorsa,1843
Laamanen,1841
Piiroinen,1841
Huusko,1835
Pikkarainen,1834
Ukkonen,1832
Tenhunen,1829
Lämsä,1825
Suomela,1825
Ekman,1823
Kekkonen,1820
Siitonen,1820
Laitila,1817
Lind,1814
Forsström,1810
Paajanen,1796
Leppälä,1794
Jylhä,1790
Nyström,1789
Bergman,1778
Arola,1777
Neuvonen,1777
Suomi,1777
Vuorio,1777
Alho,1774
Mäkitalo,1766
Junttila,1763
Vanhanen,1762
Wikström,1758
Pakkanen,1755
Sandberg,1754
Saarelainen,1752
Tahvanainen,1751
Vepsäläinen,1751
Lyytikäinen,1749
Nyholm,1744
Kontio,1741
Jantunen,1738
Närhi,1738
Kujanpää,1737
Vainionpää,1737
Pöyhönen,1735
Hakanen,1734
Tapio,1734
Lempinen,1732
Helander,1730
Suutari,1725
Hurme,1719
Honkala,1718
Kosunen,1718
Hyytiäinen,1717
Hynninen,1706
Inkinen,1703
Minkkinen,1700
Tuomainen,1694
Tauriainen,1687
Ekholm,1683
Saukkonen,1679
Kaartinen,1677
Nguyen,1677
Kääriäinen,1669
Rintamäki,1669
Remes,1667
Mohamed,1665
Pirhonen,1661
Nummela,1651
Piironen,1651
Kautto,1645
Palonen,1643
Puttonen,1643
Saukko,1642
Pyykkö,1637
Nurmela,1632
Itkonen,1628
Ali,1620
Lukkarinen,1620
Söderlund,1620
Kivioja,1618
Selin,1617
Harjula,1615
Tammi,1612
Koivu,1611
Santala,1608
Vanhala,1607
Romppanen,1602
Grönlund,1597
Halttunen,1593
Nikkanen,1592
Tuomaala,1591
Määttänen,1589
Pekkanen,1583
Tossavainen,1583
Mäkilä,1579
Tiilikainen,1579
Tukiainen,1579
Välimaa,1576
Pyykkönen,1574
Setälä,1574
Sundqvist,1572
Kananen,1570
Kalliomäki,1568
Myllylä,1568
Koivumäki,1563
Piispanen,1563
Lindeman,1560
Ryhänen,1555
Tyni,1545
Tuomela,1541
Kuitunen,1539
Valtanen,1535
Sivula,1525
Ahtiainen,1524
Hakola,1517
Lintunen,1517
Hovi,1509
Happonen,1508
Hellsten,1503
Ketonen,1503
Siekkinen,1497
Päivärinta,1491
Tuhkanen,1491
Kangasniemi,1486
Pietiläinen,1486
Vesala,1485
Hakulinen,1484
Hellman,1482
Kataja,1479
Rämö,1477
Siltanen,1477
Poutanen,1468
Pettersson,1462
Nyyssönen,1459
Piipponen,1454
Toikka,1448
Montonen,1447
Peltomäki,1446
Vänskä,1445
Haapalainen,1442
Kuusinen,1442
Piippo,1441
Ahmed,1440
Lindén,1440
Kuivalainen,1439
Pellinen,1439
Talvitie,1439
Turtiainen,1439
Salin,1438
Wallenius,1436
Honkonen,1434
Stenberg,1434
Torvinen,1434
Mäntynen,1426
Sjöberg,1424
Sandström,1420
Vaittinen,1420
Räihä,1419
Valli,1419
Kuikka,1414
Parkkonen,1413
Mykkänen,1406
Kuittinen,1404
Palosaari,1403
Jaakola,1400
Syrjänen,1399
Kärnä,1396
Jalkanen,1393
Kuparinen,1392
Nikkilä,1388
Herranen,1386
Soikkeli,1383
Iivonen,1382
Sippola,1381
Utriainen,1381
Hallikainen,1379
Nikkinen,1376
Grönholm,1373
Jäppinen,1370
Rahkonen,1370
Suni,1370
Männikkö,1369
Lönnqvist,1364
Lamberg,1361
Orava,1359
Pellikka,1355
Savela,1355
Pursiainen,1351
Kakko,1350
Nordlund,1350
Hynynen,1349
Raunio,1348
Vuorenmaa,1348
Mähönen,1344
Annala,1341
Tuomola,1341
Niskala,1340
Reijonen,1340
Puumalainen,1339
Vatanen,1339
Ojanperä,1338
Manner,1331
Öhman,1330
Saikkonen,1329
Katajamäki,1328
Isotalo,1325
Viljakainen,1325
Kaunisto,1323
Ervasti,1322
Pulli,1322
Putkonen,1322
Peltomaa,1321
Pohjonen,1321
Salovaara,1319
Leivo,1317
Sairanen,1317
Lappi,1315
Kukkola,1313
Nissilä,1313
Juutilainen,1311
Sundberg,1311
Vehviläinen,1310
Kaukonen,1308
Nordman,1308
Naukkarinen,1304
Sipola,1303
Hukkanen,1302
Numminen,1302
Wallin,1299
Kekäläinen,1297
Pynnönen,1296
Kankkunen,1294
Vauhkonen,1294
Heimonen,1292
Olkkonen,1291
Huhta,1287
Kurvinen,1287
Suokas,1287
Tynkkynen,1286
Virkkunen,1286
Oja,1284
Väätäinen,1283
Haikonen,1280
Jämsä,1279
Pihlajamäki,1279
Kervinen,1276
Mutanen,1275
